,,,,,,,
PTKP Update Tahun 2015,,,KATEGORI TER,,,,
STATUS, PTKP SETAHUN ,,STATUS, PTKP SETAHUN ,,,YA
TK0," 54,000,000 ",,TK0, TER A ,,,TIDAK
TK1," 58,500,000 ",,TK1, TER A ,,,
TK2," 63,000,000 ",,K0, TER A ,,,
TK3," 67,500,000 ",,TK2, TER B ,,,
K0," 58,500,000 ",,TK3, TER B ,,,
K1," 63,000,000 ",,K1, TER B ,,,
K2," 67,500,000 ",,K2, TER B ,,,
K3," 72,000,000 ",,K3, TER C ,,,
,,,,,,,
,,,,,,,
Tarif PPh Pasal 17 Terbaru,,,,,,,
TARIF, PENGHASILAN BRUTO ,,,,,,
5%, <= 60.000.000 ,,,,,,
15%, >60.000.000 s.d 250.000.000 ,,,,,,
25%, >250.000.000 s.d 500.000.000 ,,,,,,
30%, > 500.000.000 s.d. 5M ,,,,,,
35%, > 5M ,,,,,,
